,Município,ano,ginibr
472,210140 Balsas,1991,"0,5674"
473,210150 Barão de Grajaú,1991,"0,5228"
474,210160 Barra do Corda,1991,"0,6153"
475,210170 Barreirinhas,1991,"0,4757"
476,210177 Bela Vista do Maranhão,1991,
477,210173 Belágua,1991,
478,210180 Benedito Leite,1991,"0,5158"
479,210190 Bequimão,1991,"0,5005"
480,210193 Bernardo do Mearim,1991,
481,210197 Boa Vista do Gurupi,1991,
482,210200 Bom Jardim,1991,"0,5337"
483,210203 Bom Jesus das Selvas,1991,
484,210207 Bom Lugar,1991,
485,210210 Brejo,1991,"0,5412"
486,210215 Brejo de Areia,1991,
487,210220 Buriti,1991,"0,4027"
488,210230 Buriti Bravo,1991,"0,5651"
489,210232 Buriticupu,1991,
490,210235 Buritirana,1991,
491,210237 Cachoeira Grande,1991,
492,210240 Cajapió,1991,"0,3945"
493,210250 Cajari,1991,"0,3927"
494,210255 Campestre do Maranhão,1991,
495,210260 Cândido Mendes,1991,"0,5145"
496,210270 Cantanhede,1991,"0,4825"
497,210275 Capinzal do Norte,1991,
498,210280 Carolina,1991,"0,5665"
499,210290 Carutapera,1991,"0,4314"
500,210300 Caxias,1991,"0,5324"
501,210310 Cedral,1991,"0,4125"
502,210312 Central do Maranhão,1991,
503,210315 Centro do Guilherme,1991,
504,210317 Centro Novo do Maranhão,1991,
505,210320 Chapadinha,1991,"0,5631"
506,210325 Cidelândia,1991,
507,210330 Codó,1991,"0,5185"
508,210340 Coelho Neto,1991,"0,5091"
509,210350 Colinas,1991,"0,6853"
510,210355 Conceição do Lago-Açu,1991,
511,210360 Coroatá,1991,"0,4838"
512,210370 Cururupu,1991,"0,4636"
513,210375 Davinópolis,1991,
514,210380 Dom Pedro,1991,"0,6186"
515,210390 Duque Bacelar,1991,"0,4777"
516,210400 Esperantinópolis,1991,"0,5129"
517,210405 Estreito,1991,"0,5854"
518,210407 Feira Nova do Maranhão,1991,
519,210408 Fernando Falcão,1991,
520,210409 Formosa da Serra Negra,1991,
521,210410 Fortaleza dos Nogueiras,1991,"0,6342"
522,210420 Fortuna,1991,"0,5146"
523,210430 Godofredo Viana,1991,"0,4939"
524,210440 Gonçalves Dias,1991,"0,6642"
525,210450 Governador Archer,1991,"0,5954"
526,210455 Governador Edison Lobão,1991,
527,210460 Governador Eugênio Barros,1991,"0,4796"
528,210462 Governador Luiz Rocha,1991,
529,210465 Governador Newton Bello,1991,
530,210467 Governador Nunes Freire,1991,
531,210470 Graça Aranha,1991,"0,3764"
532,210480 Grajaú,1991,"0,5468"
533,210490 Guimarães,1991,"0,5512"
534,210500 Humberto de Campos,1991,"0,4501"
535,210510 Icatu,1991,"0,4121"
536,210515 Igarapé do Meio,1991,
537,210520 Igarapé Grande,1991,"0,4904"
538,210530 Imperatriz,1991,"0,6242"
539,210535 Itaipava do Grajaú,1991,
540,210540 Itapecuru Mirim,1991,"0,4965"
541,210542 Itinga do Maranhão,1991,
542,210545 Jatobá,1991,
543,210547 Jenipapo dos Vieiras,1991,
544,210550 João Lisboa,1991,"0,4823"
545,210560 Joselândia,1991,"0,4875"
546,210565 Junco do Maranhão,1991,
547,210570 Lago da Pedra,1991,"0,5213"
548,210580 Lago do Junco,1991,"0,4497"
549,210594 Lago dos Rodrigues,1991,
550,210590 Lago Verde,1991,"0,4049"
551,210592 Lagoa do Mato,1991,
552,210596 Lagoa Grande do Maranhão,1991,
553,210598 Lajeado Novo,1991,
554,210600 Lima Campos,1991,"0,5292"
555,210610 Loreto,1991,"0,5728"
556,210620 Luís Domingues,1991,"0,4977"
557,210630 Magalhães de Almeida,1991,"0,501"
558,210632 Maracaçumé,1991,
559,210635 Marajá do Sena,1991,
560,210637 Maranhãozinho,1991,
561,210640 Mata Roma,1991,"0,4973"
562,210650 Matinha,1991,"0,5287"
563,210660 Matões,1991,"0,5175"
564,210663 Matões do Norte,1991,
565,210667 Milagres do Maranhão,1991,
566,210670 Mirador,1991,"0,4786"
567,210675 Miranda do Norte,1991,"0,5424"
568,210680 Mirinzal,1991,"0,497"
569,210690 Monção,1991,"0,4284"
570,210700 Montes Altos,1991,"0,5021"
571,210710 Morros,1991,"0,5259"
572,210720 Nina Rodrigues,1991,"0,5976"
573,210725 Nova Colinas,1991,
574,210730 Nova Iorque,1991,"0,5183"
575,210735 Nova Olinda do Maranhão,1991,
576,210740 Olho d'Água das Cunhãs,1991,"0,4535"
577,210745 Olinda Nova do Maranhão,1991,
578,210750 Paço do Lumiar,1991,"0,4804"
579,210760 Palmeirândia,1991,"0,4496"
580,210770 Paraibano,1991,"0,5625"
581,210780 Parnarama,1991,"0,4971"
582,210790 Passagem Franca,1991,"0,4801"
583,210800 Pastos Bons,1991,"0,5345"
584,210805 Paulino Neves,1991,
585,210810 Paulo Ramos,1991,"0,5184"
586,210820 Pedreiras,1991,"0,5194"
587,210825 Pedro do Rosário,1991,
588,210830 Penalva,1991,"0,4156"
589,210840 Peri Mirim,1991,"0,4798"
590,210845 Peritoró,1991,
591,210850 Pindaré-Mirim,1991,"0,5152"
592,210860 Pinheiro,1991,"0,5524"
593,210870 Pio XII,1991,"0,4213"
594,210880 Pirapemas,1991,"0,4185"
595,210890 Poção de Pedras,1991,"0,4736"
596,210900 Porto Franco,1991,"0,5458"
597,210905 Porto Rico do Maranhão,1991,
598,210910 Presidente Dutra,1991,"0,5554"
599,210920 Presidente Juscelino,1991,"0,4219"
600,210923 Presidente Médici,1991,
601,210927 Presidente Sarney,1991,
602,210930 Presidente Vargas,1991,"0,4537"
603,210940 Primeira Cruz,1991,"0,5056"
604,210945 Raposa,1991,
605,210950 Riachão,1991,"0,5213"
606,210955 Ribamar Fiquene,1991,
607,210960 Rosário,1991,"0,4657"
608,210970 Sambaíba,1991,"0,5406"
609,210975 Santa Filomena do Maranhão,1991,
610,210980 Santa Helena,1991,"0,4275"
611,210990 Santa Inês,1991,"0,5427"
612,211000 Santa Luzia,1991,"0,505"
613,211003 Santa Luzia do Paruá,1991,"0,4831"
614,211010 Santa Quitéria do Maranhão,1991,"0,4673"
615,211020 Santa Rita,1991,"0,5022"
616,211023 Santana do Maranhão,1991,
617,211027 Santo Amaro do Maranhão,1991,
618,211030 Santo Antônio dos Lopes,1991,"0,4826"
619,211040 São Benedito do Rio Preto,1991,"0,4146"
620,211050 São Bento,1991,"0,4821"
621,211060 São Bernardo,1991,"0,5043"
622,211065 São Domingos do Azeitão,1991,
623,211070 São Domingos do Maranhão,1991,"0,4921"
624,211080 São Félix de Balsas,1991,"0,5119"
625,211085 São Francisco do Brejão,1991,
626,211090 São Francisco do Maranhão,1991,"0,4034"
627,211100 São João Batista,1991,"0,4495"
628,211102 São João do Carú,1991,
629,211105 São João do Paraíso,1991,
630,211107 São João do Soter,1991,
631,211110 São João dos Patos,1991,"0,5106"
632,211120 São José de Ribamar,1991,"0,5086"
633,211125 São José dos Basílios,1991,
634,211130 São Luís,1991,"0,6225"
635,211140 São Luís Gonzaga do Maranhão,1991,"0,4157"
636,211150 São Mateus do Maranhão,1991,"0,4389"
637,211153 São Pedro da Água Branca,1991,
638,211157 São Pedro dos Crentes,1991,
639,211160 São Raimundo das Mangabeiras,1991,"0,6134"
640,211163 São Raimundo do Doca Bezerra,1991,
641,211167 São Roberto,1991,
642,211170 São Vicente Ferrer,1991,"0,4781"
643,211172 Satubinha,1991,
644,211174 Senador Alexandre Costa,1991,
645,211176 Senador La Rocque,1991,
646,211178 Serrano do Maranhão,1991,
647,211180 Sítio Novo,1991,"0,4926"
648,211190 Sucupira do Norte,1991,"0,483"
649,211195 Sucupira do Riachão,1991,
650,211200 Tasso Fragoso,1991,"0,5339"
651,211210 Timbiras,1991,"0,4556"
652,211220 Timon,1991,"0,493"
653,211223 Trizidela do Vale,1991,
654,211227 Tufilândia,1991,
655,211230 Tuntum,1991,"0,5044"
656,211240 Turiaçu,1991,"0,5011"
657,211245 Turilândia,1991,
658,211250 Tutóia,1991,"0,5229"
659,211260 Urbano Santos,1991,"0,4933"
